Đối tác,Số dự án cấp mới,Vốn đăng ký cấp mới (triệu USD),Số lượt dự án điều chỉnh,Vốn đăng ký điều chỉnh (triệu USD),Số lượt góp vốn mua cổ phần,"Giá trị góp vốn, mua cổ phần (triệu USD)",Năm
Ninh Bình,5.0,16.51,1.0,2.02,5.0,48.84,2022
Nam Định,7.0,43.02,4.0,2.95,6.0,11.62,2022
Bình Định,2.0,4.32,2.0,15.15,6.0,14.74,2022
Bình Thuận,2.0,16.06,1.0,0.21,5.0,8.51,2022
An Giang,2.0,23.0,1.0,1.5,2.0,0.14,2022
Đăk Lăk,2.0,5.65,2.0,3.94,2.0,1.24,2022
Yên Bái,3.0,6.61,0.0,0.0,6.0,3.1,2022
Khánh Hòa,1.0,0.77,0.0,0.0,55.0,7.92,2022
Kiên Giang,1.0,2.0,0.0,0.0,11.0,2.67,2022
Trà Vinh,1.0,3.0,1.0,0.03,0.0,0.0,2022
Bến Tre,1.0,1.08,1.0,0.45,3.0,2.23,2022
Phú Yên,0.0,0.0,0.0,0.0,2.0,1.83,2022
Lạng Sơn,0.0,0.0,0.0,0.0,1.0,1.72,2022
Hòa Bình,0.0,0.0,0.0,0.0,3.0,1.44,2022
Tuyên Quang,0.0,0.0,0.0,0.0,4.0,0.86,2022
Đăk Nông,0.0,0.0,1.0,0.49,1.0,0.13,2022
Kon Tum,0.0,0.0,0.0,0.0,3.0,0.57,2022
Quảng Trị,0.0,0.0,0.0,0.0,3.0,0.47,2022
Hậu Giang,1.0,0.01,0.0,0.0,3.0,0.28,2022
Cà Mau,0.0,0.0,0.0,0.0,2.0,0.14,2022
Gia Lai,0.0,0.0,0.0,0.0,1.0,0.11,2022
Lâm Đồng,1.0,0.04,3.0,9.38,17.0,3.02,2022
Bạc Liêu,1.0,18.35,1.0,79.3,0.0,0.0,2022
Bắc Ninh,168.49999999999997,554.0099999999999,120.62499999999999,1298.6237499999997,48.533619059777585,80.96749999999999,2023
Bắc Ninh,168.49999999999997,554.0099999999999,120.62499999999999,1298.6237499999997,39.258536317326765,80.96749999999999,2024
Bắc Ninh,168.49999999999997,554.0099999999999,120.62499999999999,1298.6237499999997,31.75598077449301,80.96749999999999,2025
TP. Hồ Chí Minh,886.8749999999999,847.8604199221843,215.86545422588568,803.3512499999997,2061.079810459446,2490.4072436062456,2023
TP. Hồ Chí Minh,886.8749999999999,774.0230250112375,229.0238199795193,803.3512499999997,1761.9452447463898,3430.062713048437,2024
TP. Hồ Chí Minh,886.8749999999999,966.7256005258889,229.0238199795193,803.3512499999997,1506.2255375702243,3820.470510005148,2025
Bình Dương,102.36470097360677,1442.3112499999997,74.64863807861137,596.2499999999998,151.2498822483219,1144.8939502123787,2023
Bình Dương,124.01918816046255,1442.3112499999997,126.98193457840472,596.2499999999998,122.99208000070561,1095.5320249673248,2024
Bình Dương,137.66449284930138,1442.3112499999997,147.2928910489171,596.2499999999998,100.01364310528447,1048.2983314798466,2025
Trà Vinh,2.9999999999999996,0.0,0.9999999999999998,5.682499999999999,0.0,0.0,2023
Trà Vinh,2.9999999999999996,0.0,0.9999999999999998,5.682499999999999,0.0,0.0,2024
Trà Vinh,2.9999999999999996,0.0,0.9999999999999998,5.682499999999999,0.0,0.0,2025
Đồng Nai,84.05972840522448,873.6724999999997,68.62499999999999,353.15749999999997,53.876735593632404,409.2112499999999,2023
Đồng Nai,107.52550732062039,873.6724999999997,68.62499999999999,353.15749999999997,43.98034300342692,409.2112499999999,2024
Đồng Nai,105.23861564290533,873.6724999999997,68.62499999999999,353.15749999999997,35.90177744413474,409.2112499999999,2025
Hà Nội,508.8749999999999,1443.8062499999996,160.37499999999997,707.9099999999999,313.1308941220298,1494.7374999999997,2023
Hà Nội,508.8749999999999,1443.8062499999996,160.37499999999997,707.9099999999999,253.3616456166973,1494.7374999999997,2024
Hà Nội,508.8749999999999,1443.8062499999996,160.37499999999997,707.9099999999999,205.0009266878173,1494.7374999999997,2025
Hải Phòng,71.24999999999999,887.165,42.99999999999999,962.8512499999997,20.661966798138412,387.3137499999999,2023
Hải Phòng,71.24999999999999,887.165,42.99999999999999,962.8512499999997,16.41987969105285,387.3137499999999,2024
Hải Phòng,71.24999999999999,887.165,42.99999999999999,962.8512499999997,13.048731115613892,387.3137499999999,2025
Bà Rịa - Vũng Tàu,22.34905384504889,518.0674999999999,14.624999999999996,368.35874999999993,18.749722966264695,178.30249999999995,2023
Bà Rịa - Vũng Tàu,33.02913512440847,518.0674999999999,14.624999999999996,368.35874999999993,15.979641423257897,178.30249999999995,2024
Bà Rịa - Vũng Tàu,40.13885843409135,518.0674999999999,14.624999999999996,368.35874999999993,13.618811353924238,178.30249999999995,2025
Long An,85.79062181681653,711.6674999999998,81.87499999999999,274.51624999999996,46.24097124621751,51.853650595791706,2023
Long An,99.44078460299765,711.6674999999998,81.87499999999999,274.51624999999996,36.86599003092267,43.13123323885867,2024
Long An,99.44078460299765,711.6674999999998,81.87499999999999,274.51624999999996,29.391710085917868,35.876033014651505,2025
Tây Ninh,22.249999999999996,498.3812499999999,24.374999999999996,412.1249601031228,5.402448714797908,3.8674033800555234,2023
Tây Ninh,22.249999999999996,498.3812499999999,24.374999999999996,209.0983186891021,4.169493159431652,2.724373206569196,2024
Tây Ninh,22.249999999999996,498.3812499999999,24.374999999999996,369.4227820801537,3.2179247086471707,1.9191712472893283,2025
Hải Dương,35.24999999999999,210.15249999999997,29.874999999999996,186.27294534514758,16.434692207107044,3.9387389211995107,2023
Hải Dương,35.24999999999999,210.15249999999997,29.874999999999996,284.7168194213949,12.861862282968811,3.006524087087574,2024
Hải Dương,35.24999999999999,210.15249999999997,29.874999999999996,184.09678933032913,10.065749896704359,2.294944464987529,2025
Bắc Giang,47.40660064309637,615.1500447188564,40.95113910911332,638.4924892257583,26.9469551677252,43.10999999999999,2023
Bắc Giang,50.81023802017264,528.9455611400823,38.42102564601113,601.1452441867776,24.204613093713064,43.10999999999999,2024
Bắc Giang,50.81023802017264,571.1050952834134,36.83997005810994,565.9825459287513,21.74135412961401,43.10999999999999,2025
Quảng Ninh,10.624999999999998,1976.6167821463746,2.842931936119664,20.557499999999997,11.624999999999996,44.318749999999994,2023
Quảng Ninh,10.624999999999998,1791.2468553403396,0.9941787111143419,20.557499999999997,11.624999999999996,44.318749999999994,2024
Quảng Ninh,10.624999999999998,1623.2611833248368,2.1964194132370514,20.557499999999997,11.624999999999996,44.318749999999994,2025
Vĩnh Phúc,32.94342113358674,359.8049999999999,9.374999999999998,53.68124999999999,17.63781270669771,0.44507307426012355,2023
Vĩnh Phúc,38.169044895184996,359.8049999999999,9.374999999999998,53.68124999999999,38.46428939592029,0.32473777283829075,2024
Vĩnh Phúc,38.169044895184996,359.8049999999999,9.374999999999998,53.68124999999999,49.795558014302685,0.23693776866479285,2025
Hà Nam,32.24999999999999,381.27,29.749999999999996,127.54124999999998,2.1691608469219448,0.4935618823258414,2023
Hà Nam,32.24999999999999,381.27,29.749999999999996,127.54124999999998,1.568419593273043,0.3205306995855628,2024
Hà Nam,32.24999999999999,381.27,29.749999999999996,127.54124999999998,1.1340514577577088,0.20816017819824892,2025
Hưng Yên,32.12499999999999,311.6216888594763,39.12499999999999,168.92874999999995,16.092320259993397,35.457499999999996,2023
Hưng Yên,32.12499999999999,315.09967339272714,39.12499999999999,168.92874999999995,13.629619544747047,35.457499999999996,2024
Hưng Yên,32.12499999999999,312.75009193128085,39.12499999999999,168.92874999999995,11.543800143996572,35.457499999999996,2025
Bình Phước,20.53927027860575,241.07124999999996,20.749999999999996,90.3921669206218,3.016116059125807,8.767033278353786,2023
Bình Phước,14.908563763687198,241.07124999999996,20.749999999999996,92.18718999187138,2.2742390205291474,6.586193016603491,2024
Bình Phước,18.932363464316136,241.07124999999996,20.749999999999996,91.0355459391696,1.7148422080271268,4.947846902675589,2025
Quảng Nam,9.783392013777695,126.65875,3.8268082515746387,104.8888852727085,18.874999999999996,14.086207357285975,2023
Quảng Nam,12.305166215691084,126.65875,5.702493751231866,-6.13916471920102,18.874999999999996,21.016561192669876,2024
Quảng Nam,13.634629723410914,126.65875,5.702493751231866,51.974332136216645,18.874999999999996,24.204936427690495,2025
Thái Nguyên,16.249999999999996,236.51249999999996,14.124999999999998,216.36874999999998,10.115652288160895,9.609999999999998,2023
Thái Nguyên,16.249999999999996,236.51249999999996,14.124999999999998,216.36874999999998,14.686160546597174,9.609999999999998,2024
Thái Nguyên,16.249999999999996,236.51249999999996,14.124999999999998,216.36874999999998,17.356000101446774,9.609999999999998,2025
Nghệ An,10.249999999999998,208.49499999999995,1.2499999999999998,0.0,1.3719629749977307,0.08918171918947974,2023
Nghệ An,10.249999999999998,208.49499999999995,1.2499999999999998,0.0,0.9411412023823119,0.046784582574065994,2024
Nghệ An,10.249999999999998,208.49499999999995,1.2499999999999998,0.0,0.645605441956689,0.024543114738337535,2025
Bến Tre,3.874999999999999,169.96624999999995,2.9999999999999996,18.999999999999996,2.362048773400557,1.510447015282066,2023
Bến Tre,3.874999999999999,169.96624999999995,2.9999999999999996,18.999999999999996,1.8597581359743587,1.023071832275561,2024
Bến Tre,3.874999999999999,169.96624999999995,2.9999999999999996,18.999999999999996,1.4642798079666468,0.692957755820527,2025
Hà Tĩnh,0.9373524046826459,96.88749999999997,0.0,2.434382671953672,9.249999999999998,0.7928533271067776,2023
Hà Tĩnh,0.8786295305643388,96.88749999999997,0.0,0.0,9.249999999999998,0.5562976976144132,2024
Hà Tĩnh,0.8235855032996673,96.88749999999997,0.0,0.0,9.249999999999998,0.390320779128697,2025
Thừa Thiên Huế,6.999999999999998,101.31249999999999,2.2499999999999996,0.0,0.495546429641208,0.0,2023
Thừa Thiên Huế,6.999999999999998,101.31249999999999,2.2499999999999996,0.0,5.750379323637089,0.0,2024
Thừa Thiên Huế,6.999999999999998,101.31249999999999,2.2499999999999996,0.0,12.664598474902593,0.0,2025
Phú Thọ,15.999999999999996,383.7632106021666,13.999999999999998,114.25624999999997,2.4037719244131868,4.181053936848245,2023
Phú Thọ,15.999999999999996,361.9686922399855,13.999999999999998,114.25624999999997,5.396912431132895,3.355319006302151,2024
Phú Thọ,15.999999999999996,341.4119189703945,13.999999999999998,114.25624999999997,9.580123226652312,2.6926621383265545,2025
Tiền Giang,3.2833517899571847,139.50749999999996,7.874999999999998,137.10569572932064,0.7987803543515924,0.01867732360730056,2023
Tiền Giang,9.772818086461386,139.50749999999996,7.874999999999998,84.17627353022908,0.6380500544980556,0.008721060428295662,2024
Tiền Giang,3.8749684677622835,139.50749999999996,7.874999999999998,84.17627353022908,0.5096618486260097,0.004072151695452529,2025
Yên Bái,2.749999999999999,47.36749999999999,0.3749999999935891,0.34874999892457054,5.499999999999999,3.328749999999999,2023
Yên Bái,2.749999999999999,47.36749999999999,0.3749999999935891,0.34874999892457054,5.499999999999999,3.328749999999999,2024
Yên Bái,2.749999999999999,47.36749999999999,0.3749999999935891,0.34874999892457054,5.499999999999999,3.328749999999999,2025
Nam Định,11.624999999999998,0.0,7.999999999999998,30.62249999999999,4.969399223935049,46.523749999999986,2023
Nam Định,11.624999999999998,0.0,7.999999999999998,30.62249999999999,4.115821441141045,46.523749999999986,2024
Nam Định,11.624999999999998,0.0,7.999999999999998,30.62249999999999,3.4088599792435907,46.523749999999986,2025
An Giang,2.2499999999999996,20.186249999999994,0.7499999983440795,1.1624999999999999,2.9999999999999996,3.3049999999999997,2023
An Giang,2.2499999999999996,20.186249999999994,0.7499999983440795,1.1624999999999999,2.9999999999999996,3.3049999999999997,2024
An Giang,2.2499999999999996,20.186249999999994,0.7499999983440795,1.1624999999999999,2.9999999999999996,3.3049999999999997,2025
Bình Định,3.104125769390852,70.06,3.32406101706571,8.353749999999998,1.2761795546021664,9.065648643876244,2023
Bình Định,3.856520494250479,70.06,2.190431069987776,8.353749999999998,-0.6712642427392619,6.5019737947580305,2024
Bình Định,4.369231851679361,70.06,3.161013324998079,8.353749999999998,1.0161932792964241,7.3406497430944295,2025
Khánh Hòa,4.999999999999999,0.0,4.705480436144154,12.329999999999998,63.624999999999986,5.668914422602675,2023
Khánh Hòa,4.999999999999999,0.0,2.3567263700480012,12.329999999999998,63.624999999999986,4.057650344797048,2024
Khánh Hòa,4.999999999999999,0.0,2.2440751296022334,12.329999999999998,63.624999999999986,2.9043525961488257,2025
Thái Bình,8.249999999999998,125.13999999999997,7.857992895346977,18.04875,1.6285665576537103,1.3050308437364468,2023
Thái Bình,8.249999999999998,125.13999999999997,6.513128210746009,18.04875,1.3261145163540278,0.97320314463055,2024
Thái Bình,8.249999999999998,125.13999999999997,2.6481028319591537,18.04875,1.079832876476647,0.7257486405509543,2025
Đà Nẵng,75.12499999999999,156.18249999999995,30.31812099740702,0.0,36.93521874038835,37.647499999999994,2023
Đà Nẵng,75.12499999999999,156.18249999999995,27.040882388995918,0.0,27.841028232659895,37.647499999999994,2024
Đà Nẵng,75.12499999999999,156.18249999999995,24.746869047234618,0.0,20.986009545522876,37.647499999999994,2025
Thanh Hóa,13.749999999999996,0.0,5.249999999999999,35.56874999999999,3.1117851015316558,0.0,2023
Thanh Hóa,13.749999999999996,0.0,5.249999999999999,35.56874999999999,2.420801629528594,0.0,2024
Thanh Hóa,13.749999999999996,0.0,5.249999999999999,35.56874999999999,1.8832536111326585,0.0,2025
Ninh Bình,7.249999999999998,77.25999999999999,2.999999999999999,25.381249999999998,5.749999999999999,30.16624999999999,2023
Ninh Bình,7.249999999999998,77.25999999999999,2.999999999999999,25.381249999999998,5.749999999999999,30.16624999999999,2024
Ninh Bình,7.249999999999998,77.25999999999999,2.999999999999999,25.381249999999998,5.749999999999999,30.16624999999999,2025
Phú Yên,2.1249999999999996,55.3475,0.0,0.0,2.1462396062831877,0.0,2023
Phú Yên,2.1249999999999996,55.3475,0.0,0.0,2.0681387837965275,0.0,2024
Phú Yên,2.1249999999999996,55.3475,0.0,0.0,2.109849361581323,0.0,2025
Kiên Giang,2.7499999999999996,0.0,0.0,0.0,8.553975483032296,1.867813342169003,2023
Kiên Giang,2.7499999999999996,0.0,0.0,0.0,6.651863324028874,1.3066392064361578,2024
Kiên Giang,2.7499999999999996,0.0,0.0,0.0,5.172715980929518,0.9140667202930989,2025
Đăk Lăk,2.3749999999999996,0.0,0.6249999977978343,3.176249999999999,1.249999999992728,0.0,2023
Đăk Lăk,2.3749999999999996,0.0,0.6249999977978343,3.176249999999999,1.249999999992728,0.0,2024
Đăk Lăk,2.3749999999999996,0.0,0.6249999977978343,3.176249999999999,1.249999999992728,0.0,2025
Quảng Bình,1.7499999999999996,56.55999999999999,0.49999999815329965,8.25076165623944,2.7499999999999996,0.0,2023
Quảng Bình,1.7499999999999996,56.55999999999999,0.49999999815329965,3.9228603448257875,2.7499999999999996,0.0,2024
Quảng Bình,1.7499999999999996,56.55999999999999,0.49999999815329965,6.193042243386795,2.7499999999999996,0.0,2025
Bình Thuận,4.374999999999999,34.676249999999996,1.9999999999999996,5.616249999999998,3.4679792232525157,6.13410521843457,2023
Bình Thuận,4.374999999999999,34.676249999999996,1.9999999999999996,5.616249999999998,2.4053759785822244,4.421533117605902,2024
Bình Thuận,4.374999999999999,34.676249999999996,1.9999999999999996,5.616249999999998,1.6683587835667686,3.1870915828657624,2025
Hậu Giang,1.6249999999999996,28.008749999999992,0.7499999986936863,13.249999999999996,2.7105704723962134,0.278749998962587,2023
Hậu Giang,1.6249999999999996,28.008749999999992,0.7499999986936863,13.249999999999996,2.625873900107672,0.278749998962587,2024
Hậu Giang,1.6249999999999996,28.008749999999992,0.7499999986936863,13.249999999999996,2.4242791004035387,0.278749998962587,2025
Quảng Ngãi,6.124999999999998,46.02026510482182,2.874999999999999,0.0,0.8749999999999998,0.0,2023
Quảng Ngãi,6.124999999999998,28.84588395965787,2.874999999999999,0.0,0.8749999999999998,0.0,2024
Quảng Ngãi,6.124999999999998,18.080839376278703,2.874999999999999,0.0,0.8749999999999998,0.0,2025
Cần Thơ,5.6480858473190345,227.81624999999997,1.2499999971576627,6.174999999999999,7.6998991178771234,9.631249999999998,2023
Cần Thơ,5.808512817584436,227.81624999999997,1.2499999971576627,6.174999999999999,6.587605158387212,9.631249999999998,2024
Cần Thơ,5.73536596876006,227.81624999999997,1.2499999971576627,6.174999999999999,5.635988349776498,9.631249999999998,2025
Vĩnh Long,7.374999999999998,89.46749999999999,7.604317448160641,29.531249999999993,1.9999999999999996,0.0,2023
Vĩnh Long,7.374999999999998,89.46749999999999,9.75132263909461,29.531249999999993,1.9999999999999996,0.0,2024
Vĩnh Long,7.374999999999998,89.46749999999999,7.821137821799143,29.531249999999993,1.9999999999999996,0.0,2025
Đồng Tháp,3.1153918646600505,15.547499999999996,0.6249999999531094,0.0,0.0,6.451249999999998,2023
Đồng Tháp,1.3996264578277193,15.547499999999996,0.6249999999531094,0.0,0.0,6.451249999999998,2024
Đồng Tháp,2.3445640641290524,15.547499999999996,0.6249999999531094,0.0,0.0,6.451249999999998,2025
Lâm Đồng,3.668817690394013,11.70375,2.6249999999999996,7.4137499999999985,13.190274173426513,6.059999999999998,2023
Lâm Đồng,2.2104474150177715,11.70375,2.6249999999999996,7.4137499999999985,10.234313692362498,6.059999999999998,2024
Lâm Đồng,3.007371036948266,11.70375,2.6249999999999996,7.4137499999999985,7.9407884458302584,6.059999999999998,2025
Sóc Trăng,1.8749999999999996,51.65374999999999,0.8749999999999999,0.0,0.49999999815329105,0.0,2023
Sóc Trăng,1.8749999999999996,51.65374999999999,0.8749999999999999,0.0,0.49999999815329105,0.0,2024
Sóc Trăng,1.8749999999999996,51.65374999999999,0.8749999999999999,0.0,0.49999999815329105,0.0,2025
Bạc Liêu,0.7622684862340412,0.0,0.6249999957851515,0.0,0.49999999815329965,0.15374999997185776,2023
Bạc Liêu,0.5810532451055367,0.0,0.6249999957851515,0.0,0.49999999815329965,0.15374999997185776,2024
Bạc Liêu,0.44291857756797476,0.0,0.6249999957851515,0.0,0.49999999815329965,0.15374999997185776,2025
Tuyên Quang,1.2499999999999998,0.0,0.7499999983130129,7.884999999999998,2.6249999999999996,3.5633372861648764,2023
Tuyên Quang,1.2499999999999998,0.0,0.7499999983130129,7.884999999999998,2.6249999999999996,1.0676387319941263,2024
Tuyên Quang,1.2499999999999998,0.0,0.7499999983130129,7.884999999999998,2.6249999999999996,1.1863254395367355,2025
Hòa Bình,3.3870365860428146e-17,0.0,2.1249999999999996,0.0,2.1300173112861374,2.2975,2023
Hòa Bình,1.6530765026102865e-16,0.0,2.1249999999999996,0.0,1.5123245821262086,2.2975,2024
Hòa Bình,4.964348803033178e-17,0.0,2.1249999999999996,0.0,1.0737591800707993,2.2975,2025
Ninh Thuận,2.4999999999999996,3.7717885227862906,0.7499999999999998,0.0,11.435093042718531,74.78948238216269,2023
Ninh Thuận,2.4999999999999996,2.3710647767703983,0.7499999999999998,0.0,10.896779407969145,68.5810038620871,2024
Ninh Thuận,2.4999999999999996,1.4905258186342378,0.7499999999999998,0.0,10.383807199675543,62.88790804431823,2025
Bắc Kạn,0.24999999967535586,0.0,0.0,0.0,7.65267987583472e-50,0.0,2023
Bắc Kạn,0.24999999967535586,0.0,0.0,0.0,3.4236265881397945e-50,0.0,2024
Bắc Kạn,0.24999999967535586,0.0,0.0,0.0,1.531648939351358e-50,0.0,2025
Lào Cai,-0.2819560953587078,1.9487499999999995,0.0,0.0,0.0,2.557499999999999,2023
Lào Cai,0.0,1.9487499999999995,0.0,0.0,0.0,2.557499999999999,2024
Lào Cai,0.0,1.9487499999999995,0.0,0.0,0.0,2.557499999999999,2025
Hà Giang,-0.09199405239580645,0.0,0.0,0.0,0.0,0.0,2023
Lạng Sơn,0.0,1.3612499999999998,0.0,0.0,0.624473286826275,1.6649999999999996,2023
Lạng Sơn,0.0,1.3612499999999998,0.0,0.0,0.38996688595961115,1.6649999999999996,2024
Lạng Sơn,0.0,1.3612499999999998,0.0,0.0,0.24352390302860552,1.6649999999999996,2025
Kon Tum,0.8749999979572123,0.0,0.0,0.0,1.2499999999999996,0.0,2023
Kon Tum,0.8749999979572123,0.0,0.0,0.0,1.2499999999999996,0.0,2024
Kon Tum,0.8749999979572123,0.0,0.0,0.0,1.2499999999999996,0.0,2025
Quảng Trị,0.873911232257575,0.0,0.24999999967535586,0.0,1.3749999999999996,0.2187902375193439,2023
Quảng Trị,0.3615133967401505,0.0,0.24999999967535586,0.0,1.3749999999999996,0.10184929368887435,2024
Quảng Trị,0.6619461319559369,0.0,0.24999999967535586,0.0,1.3749999999999996,0.047411981185885625,2025
Đăk Nông,0.8749999999999998,28.687499999999996,0.24999999967535586,0.0,0.4999999995175494,0.06874999996545673,2023
Đăk Nông,0.8749999999999998,28.687499999999996,0.24999999967535586,0.0,0.4999999995175494,0.06874999996545673,2024
Đăk Nông,0.8749999999999998,28.687499999999996,0.24999999967535586,0.0,0.4999999995175494,0.06874999996545673,2025
Gia Lai,0.0,0.0,0.3749999999935891,0.0,0.5237073594244562,0.17249999999999993,2023
Gia Lai,0.0,0.0,0.3749999999935891,0.0,0.2742693983153366,0.17249999999999993,2024
Gia Lai,0.0,0.0,0.3749999999935891,0.0,0.14363690236265933,0.17249999999999993,2025
Cà Mau,-7.936639436975214e-17,0.0,0.24999999967535586,0.0,1.1249999973161902,0.0,2023
Cà Mau,-5.673656927968827e-17,0.0,0.24999999967535586,0.0,1.1249999973161902,0.0,2024
Cà Mau,-4.055921047177741e-17,0.0,0.24999999967535586,0.0,1.1249999973161902,0.0,2025
Cao Bằng,0.0,0.0,0.0,0.0,0.6249999974442165,0.15999999937250725,2023
Cao Bằng,0.0,0.0,0.0,0.0,0.6249999974442165,0.15999999937250725,2024
Cao Bằng,0.0,0.0,0.0,0.0,0.6249999974442165,0.15999999937250725,2025
Điện Biên,0.0,0.0,0.0,0.0,0.3749999999935891,0.5175,2023
Điện Biên,0.0,0.0,0.0,0.0,0.3749999999935891,0.5175,2024
Điện Biên,0.0,0.0,0.0,0.0,0.3749999999935891,0.5175,2025
Lai Châu,0.0,0.0,0.0,0.0,0.3749999979867539,0.0,2023
Lai Châu,0.0,0.0,0.0,0.0,0.3749999979867539,0.0,2024
Lai Châu,0.0,0.0,0.0,0.0,0.3749999979867539,0.0,2025
