Ngành,Số dự án cấp mới,Vốn đăng ký cấp mới (triệu USD),Số lượt dự án điều chỉnh,Vốn đăng ký điều chỉnh (triệu USD),Số lượt góp vốn mua cổ phần,"Giá trị góp vốn, mua cổ phần (triệu USD)",Năm
Thông tin và truyền thông,243.0,273.72,47.0,90.8,321.0,196.36,2018
Vận tải kho bãi,73.0,206.47,24.0,52.9,131.0,146.16,2018
Cấp nước và xử lý chất thải,7.0,232.39,3.0,10.19,9.0,16.62,2018
Hoạt động hành chính và dịch vụ hỗ trợ,77.0,52.96,13.0,64.57,170.0,96.44,2018
"Nông nghiêp, lâm nghiệp và thủy sản",11.0,71.15,14.0,61.16,28.0,8.53,2018
Y tế và hoạt động trợ giúp xã hội,7.0,14.17,4.0,3.41,33.0,115.23,2018
Giáo dục và đào tạo,70.0,30.97,14.0,30.88,92.0,28.87,2018
"Hoạt động tài chính, ngân hàng và bảo hiểm",5.0,10.3,4.0,3.92,31.0,67.62,2018
Khai khoáng,2.0,25.4,0.0,0.0,0.0,0.0,2018
Hoạt động dịch vụ khác,9.0,3.95,3.0,0.38,18.0,3.43,2018
"Công nghiệp chế biến, chế tạo",1314.0,12093.14,861.0,5381.98,2261.0,7086.66,2019
Hoạt động kinh doanh bất động sản,123.0,1817.97,28.0,-693.73,397.0,2751.79,2019
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",1105.0,880.8,182.0,279.33,3292.0,1427.98,2019
"Hoạt động chuyên môn, khoa học công nghệ",493.0,330.26,104.0,144.79,1129.0,1091.52,2019
"Hoạt động tài chính, ngân hàng và bảo hiểm",12.0,11.55,2.0,191.97,39.0,968.34,2019
"Sản xuất, phân phối điện, khí, nước, điều hòa",15.0,722.6,2.0,-14.91,62.0,302.42,2019
Xây dựng,134.0,322.43,45.0,81.72,521.0,574.88,2019
Thông tin và truyền thông,302.0,85.37,61.0,195.37,557.0,255.86,2019
Dịch vụ lưu trú và ăn uống,103.0,39.05,23.0,37.99,710.0,411.85,2019
Vận tải kho bãi,100.0,122.38,24.0,56.73,285.0,166.95,2019
Cấp nước và xử lý chất thải,6.0,125.03,6.0,78.22,19.0,46.02,2019
Y tế và hoạt động trợ giúp xã hội,6.0,17.3,3.0,2.93,41.0,191.22,2019
Hoạt động hành chính và dịch vụ hỗ trợ,63.0,32.45,13.0,9.96,238.0,81.2,2019
"Nông nghiêp, lâm nghiệp và thủy sản",16.0,72.96,10.0,7.43,54.0,18.93,2019
Giáo dục và đào tạo,71.0,24.96,12.0,9.36,172.0,30.3,2019
"Nghệ thuật, vui chơi và giải trí",6.0,8.27,1.0,2.65,26.0,51.81,2019
Hoạt động dịch vụ khác,11.0,36.75,2.0,2.2,31.0,8.12,2019
Khai khoáng,2.0,1.9,2.0,28.03,8.0,5.66,2019
Hoạt đông làm thuê các công việc trong các hộ gia đình,1.0,0.43,0.0,0.0,0.0,0.0,2019
"Công nghiệp chế biến, chế tạo",800.0,7190.77,680.0,4593.86,1268.0,1816.46,2020
"Sản xuất, phân phối điện, khí, nước, điều hòa",20.0,5080.81,8.0,137.47,45.0,199.22,2020
Hoạt động kinh doanh bất động sản,70.0,987.41,32.0,1256.08,229.0,1941.46,2020
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",704.0,431.18,164.0,234.24,2264.0,980.21,2020
"Hoạt động chuyên môn, khoa học công nghệ",376.0,169.3,87.0,114.3,825.0,1062.96,2020
Vận tải kho bãi,59.0,169.23,19.0,43.17,155.0,399.53,2020
Xây dựng,79.0,237.24,29.0,78.89,233.0,243.72,2020
Dịch vụ lưu trú và ăn uống,57.0,106.13,15.0,27.72,399.0,207.62,2020
"Hoạt động tài chính, ngân hàng và bảo hiểm",6.0,0.29,3.0,14.77,24.0,271.78,2020
Thông tin và truyền thông,206.0,53.46,49.0,41.56,352.0,176.26,2020
"Nông nghiêp, lâm nghiệp và thủy sản",12.0,103.09,16.0,79.65,29.0,27.9,2020
Giáo dục và đào tạo,54.0,19.37,16.0,13.92,115.0,75.05,2020
Cấp nước và xử lý chất thải,4.0,64.42,0.0,0.0,12.0,23.59,2020
Hoạt động dịch vụ khác,4.0,3.42,7.0,36.74,18.0,3.61,2020
Hoạt động hành chính và dịch vụ hỗ trợ,56.0,20.01,9.0,2.14,130.0,18.23,2020
Y tế và hoạt động trợ giúp xã hội,9.0,4.49,4.0,12.66,27.0,15.42,2020
Khai khoáng,1.0,0.41,1.0,0.68,12.0,5.28,2020
"Nghệ thuật, vui chơi và giải trí",5.0,2.68,1.0,1.6,4.0,0.88,2020
Hoạt đông làm thuê các công việc trong các hộ gia đình,1.0,2.7,0.0,0.0,0.0,0.0,2020
"Công nghiệp chế biến, chế tạo",533.0,7251.98,612.0,7346.3,650.0,3522.6,2021
"Sản xuất, phân phối điện, khí, nước, điều hòa",23.0,5316.16,12.0,261.0,29.0,134.6,2021
Hoạt động kinh doanh bất động sản,57.0,1390.03,29.0,246.66,120.0,1000.73,2021
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",488.0,293.79,130.0,416.58,1338.0,693.64,2021
"Hoạt động chuyên môn, khoa học công nghệ",291.0,143.31,87.0,276.55,620.0,604.12,2021
Vận tải kho bãi,53.0,426.37,14.0,40.47,118.0,316.96,2021
Xây dựng,28.0,58.6,12.0,226.6,119.0,172.08,2021
Thông tin và truyền thông,156.0,226.05,25.0,52.44,268.0,125.9,2021
Dịch vụ lưu trú và ăn uống,23.0,41.59,15.0,21.44,322.0,104.57,2021
"Nông nghiêp, lâm nghiệp và thủy sản",15.0,59.97,13.0,61.38,30.0,35.43,2021
Cấp nước và xử lý chất thải,2.0,7.2,1.0,4.71,10.0,105.02,2021
"Hoạt động tài chính, ngân hàng và bảo hiểm",1.0,4.5,1.0,30.47,21.0,24.66,2021
Giáo dục và đào tạo,27.0,12.64,14.0,17.3,55.0,21.14,2021
Hoạt động hành chính và dịch vụ hỗ trợ,38.0,11.83,14.0,11.72,66.0,22.98,2021
Y tế và hoạt động trợ giúp xã hội,1.0,1.1,3.0,0.62,11.0,2.8,2021
Hoạt động dịch vụ khác,1.0,0.15,2.0,0.4,9.0,3.05,2021
"Nghệ thuật, vui chơi và giải trí",1.0,0.13,0.0,0.0,7.0,1.55,2021
Khai khoáng,0.0,0.0,1.0,0.14,4.0,1.34,2021
"Công nghiệp chế biến, chế tạo",511.0,7213.0,644.0,7977.9,471.0,1611.06,2022
Hoạt động kinh doanh bất động sản,75.0,1816.0,37.0,1059.28,103.0,1576.55,2022
"Sản xuất, phân phối điện, khí, nước, điều hòa",11.0,2101.0,6.0,70.74,17.0,89.97,2022
"Hoạt động chuyên môn, khoa học công nghệ",331.0,249.0,106.0,172.43,603.0,867.9,2022
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",611.0,318.0,151.0,297.36,1417.0,394.85,2022
Thông tin và truyền thông,241.0,183.0,52.0,310.73,305.0,161.64,2022
Vận tải kho bãi,72.0,356.0,16.0,46.78,133.0,35.81,2022
Giáo dục và đào tạo,36.0,12.0,16.0,136.78,51.0,104.7,2022
Xây dựng,32.0,94.0,23.0,35.54,77.0,117.9,2022
"Nông nghiêp, lâm nghiệp và thủy sản",12.0,30.0,5.0,11.67,16.0,26.7,2022
Hoạt động hành chính và dịch vụ hỗ trợ,54.0,24.0,22.0,12.5,70.0,27.65,2022
"Hoạt động tài chính, ngân hàng và bảo hiểm",8.0,29.0,1.0,24.69,13.0,3.81,2022
Cấp nước và xử lý chất thải,3.0,2.0,1.0,16.0,7.0,39.44,2022
Y tế và hoạt động trợ giúp xã hội,2.0,10.0,4.0,1.71,11.0,9.02,2022
Khai khoáng,1.0,2.0,0.0,0.0,3.0,17.09,2022
Dịch vụ lưu trú và ăn uống,33.0,8.0,18.0,59.82,240.0,63.71,2022
Hoạt động dịch vụ khác,2.0,0.0,4.0,3.37,17.0,2.24,2022
"Nghệ thuật, vui chơi và giải trí",1.0,0.0,1.0,0.15,11.0,3.5,2022
Hoạt đông làm thuê các công việc trong các hộ gia đình,0.0,0.0,0.0,0.0,1.0,0.55,2022
"Công nghiệp chế biến, chế tạo",689.9633867812822,8500.576401243527,709.8749999999999,6137.879999999997,375.0909989089374,2350.1812499999996,2023
